Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rd,cp_rs1_edges,cp_imm_edges,cp_fs1,cp_fs2,cp_fs3,cp_fd,cp_fs1_edges,cp_fs2_edges,cp_fs3_edges,cmp_fd_fs1,cmp_fd_fs2,cmp_fd_fs3,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cr_fs1_fs3_edges,cp_fclass,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB,cp_custom_fflags_accrue
fadd.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,von,x,frm_D,,,,,,,
fclass.d,FIX,x,x,x,,x,,,x,,,,D,,,,,,,,,,,x,,,,,
fcvt.d.l,X2F,,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,,,,,
fcvt.d.lu,X2F,,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,,,,,
fcvt.d.s,FI,x,x,x,,,,,x,,,x,x,,,x,,,,v,,,,,,D_S,,,
fcvt.d.w,X2F,x,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,
fcvt.d.wu,X2F,x,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,
fcvt.l.d,F2X,,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,
fcvt.lu.d,F2X,,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,
fcvt.s.d,FI,x,x,x,,,,,x,,,x,frm_D,,,x,,,2,voun,x,,,,D_S,,,,
fcvt.w.d,F2X,x,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,
fcvt.wu.d,F2X,x,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,
fdiv.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,vdoun,x,frm_D,,,,,,,
feq.d,FC,x,x,x,,x,,,x,x,,,D,D,,,,,,v,,D,,,,,,,D
fld,FL,x,x,x,nx0,,,x,,,,x,,,,,,,,,,,,,,,,,
fle.d,FC,x,x,x,,x,,,x,x,,,D,D,,,,,,v,,D,,,,,,,D
flt.d,FC,x,x,x,,x,,,x,x,,,D,D,,,,,,v,,D,,,,,,,
fmadd.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,
fmax.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,v,,D,,,,,,,
fmin.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,v,,D,,,,,,,
fmsub.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,
fmul.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,voun,x,frm_D,,,,,,,
fmv.d.x,X2F,,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,
fmv.x.d,F2X,,x,x,,x,,,x,,,,D,,,,,,,,,,,,,,,,
fnmadd.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,
fnmsub.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,
fsd,FS,x,x,x,nx0,,,x,,x,,,,x,,,,,,,,,,,,,,,
fsgnj.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,,,D,,,,,,,
fsgnjn.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,,,D,,,,,,,
fsgnjx.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,,,D,,,,,,,
fsqrt.d,FI,x,x,x,,,,,x,,,x,D,,,x,,,2,vn,x,,,,,,,,
fsub.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,von,x,frm_D,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fadd.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fclass.s,FIX,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
fcvt.l.s,F2X,,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
fcvt.lu.s,F2X,,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
fcvt.s.l,X2F,,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.s.lu,X2F,,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.s.w,X2F,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.s.wu,X2F,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.w.s,F2X,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
fcvt.wu.s,F2X,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
fdiv.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
feq.s,FC,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,
fle.s,FC,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,
flt.s,FC,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,
flw,FL,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fmadd.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,
fmax.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fmin.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fmsub.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,
fmul.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fmv.w.x,X2F,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fmv.x.w,F2X,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
fnmadd.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,
fnmsub.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,
fsgnj.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fsgnjn.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fsgnjx.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
