Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cr_vxrm_vs2_vs1_edges,cp_rs1_edges,cr_vs2_rs1_edges,cr_vxrm_vs2_rs1_edges,cr_vs2_imm_edges,cr_vxrm_vs2_imm_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_vxsat,std_vec,cp_custom,cp_custom_vindexCorners,cp_custom_shift_wi_all,cp_custom_vreductionw
vadd.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vadd.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vadd.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vwadd.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv_all,,,
vwadd.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx_all,,,
vwaddu.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv,,,
vwaddu.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx,,,
vwadd.wv,WWV,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,,x,wwv_all,,,
vwadd.wx,WWX,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,,,,,,
vwaddu.wv,WWV,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,,x,wwv,,,
vwaddu.wx,WWX,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,,,,,,
vsub.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vsub.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vwsub.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv,,,
vwsub.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx,,,
vwsubu.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv,,,
