Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_align,cp_memval
amoadd.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amoadd.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amoand.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amoand.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amomax.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amomax.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amomaxu.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amomaxu.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amomin.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amomin.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amominu.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amominu.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amoor.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amoor.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amoswap.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amoswap.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
amoxor.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,,double
amoxor.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,word,word
