Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_align,cp_memval,cp_custom
amoadd.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amoadd.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amoand.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amoand.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amomax.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amomax.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amomaxu.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amomaxu.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amomin.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amomin.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amominu.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amominu.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amoor.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amoor.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amoswap.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amoswap.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
amoxor.b,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,byte,byte,amo_aqrl
amoxor.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword,hword,amo_aqrl
