Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_uimm,cr_rs1_imm_edges
andn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
clz,I1,x,x,x,x,,x,x,,,,x,,,,
clzw,I1,,x,x,x,,x,x,,,,x,,,,
cpop,I1,x,x,x,x,,x,x,,,,x,,,,
cpopw,I1,,x,x,x,,x,x,,,,x,,,,
ctz,I1,x,x,x,x,,x,x,,,,x,,,,
ctzw,I1,,x,x,x,,x,x,,,,x,,,,
max,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
maxu,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
min,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
minu,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
orc.b,I1,x,x,x,x,,x,orcb,,,,x,,,,
orn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
rev8,I1,x,x,x,x,,x,x,,,,x,,,,
rol,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
rolw,R,,x,x,x,x,x,w,w,w,x,x,x,x,,
ror,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
rori,IS,x,x,x,x,,x,x,,,,x,,,x,uimm
roriw,ISW,,x,x,x,,x,w,,,,x,,,5,uimmw_w
rorw,R,,x,x,x,x,x,w,w,w,x,x,x,x,,
sext.b,I1,x,x,x,x,,x,x,,,,x,,,,
sext.h,I1,x,x,x,x,,x,x,,,,x,,,,
xnor,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
zext.h,I1,x,x,x,x,,x,x,,,,x,,,,
