Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_uimm,cr_rs1_imm_edges
andn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
brev8,I1,x,x,x,x,,x,x,,,,x,,,,
orn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
pack,R_RS2_NX0,x,x,x,x,nx0,x,x,x,x,nx0,x,nx0,nx0,,
packh,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
packw,R_RS2_NX0,,x,x,x,nx0,x,x,x,x,nx0,x,nx0,nx0,,
rev8,I1,x,x,x,x,,x,x,,,,x,,,,
rol,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
rolw,R,,x,x,x,x,x,w,w,w,x,x,x,x,,
ror,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
rori,IS,x,x,x,x,,x,x,,,,x,,,x,uimm
roriw,ISW,,x,x,x,,x,w,,,,x,,,5,uimmw_w
rorw,R,,x,x,x,x,x,w,w,w,x,x,x,x,,
unzip,I1,x,,x,x,,x,x,,,,x,,,,
xnor,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,
zip,I1,x,,x,x,,x,x,,,,x,,,,
