Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_imm_edges,cp_fs1,cp_fs2,cp_fs3,cp_fd,cp_fs1_edges,cp_fs2_edges,cp_fs3_edges,cmp_fd_fs1,cmp_fd_fs2,cmp_fd_fs3,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cr_fs1_fs3_edges,cp_fclass,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB,cp_fs1_edges_ties,cr_fs1_fs2_edges_ties
fadd.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,von,x,frm_H,,,S_H,S_H,S_H,,,frm_H
fclass.h,FIX,x,x,x,,,x,,,x,,,,H,,,,,,,,,,,x,,S_H,,,,
fcvt.h.l,X2F,,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,,
fcvt.h.lu,X2F,,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,,
fcvt.h.s,FI,x,x,x,,,,,,x,,,x,frm,,,x,,,2,voun,x,,,,S_H,,,,,
fcvt.h.w,X2F,x,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,,
fcvt.h.wu,X2F,x,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,,
fcvt.l.h,F2X,,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,H,
fcvt.lu.h,F2X,,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,H,
fcvt.s.h,FI,x,x,x,,,,,,x,,,x,H,,,x,,,,v,,,,,,S_H,,,,
fcvt.w.h,F2X,x,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,H,
fcvt.wu.h,F2X,x,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,H,
fdiv.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,vdoun,x,frm_H,,,S_H,S_H,S_H,,,frm_H
feq.h,FC,x,x,x,,,x,,,x,x,,,H,H,,,,,,v,,H,,,,S_H,S_H,,,
fle.h,FC,x,x,x,,,x,,,x,x,,,H,H,,,,,,v,,H,,,,S_H,S_H,,,
flh,FL,x,x,x,nx0,,,,x,,,,x,,,,,,,,,,,,,S_H,,,,,
flt.h,FC,x,x,x,,,x,,,x,x,,,H,H,,,,,,v,,H,,,,S_H,S_H,,,
fmadd.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,,frm4_H
fmax.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,v,,H,,,S_H,S_H,S_H,,,
fmin.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,v,,H,,,S_H,S_H,S_H,,,
fmsub.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,,frm4_H
fmul.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,voun,x,frm_H,,,S_H,S_H,S_H,,,frm_H
fmv.h.x,X2F,x,x,x,x,,,x,,,,,x,,,,,,,,,,,,,S_H,,,,,
fmv.x.h,F2X,x,x,x,,,x,,,x,,,,H,,,,,,,,,,,,,S_H,,,,
fnmadd.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,,frm4_H
fnmsub.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,,frm4_H
fsgnj.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,,,H,,,S_H,S_H,S_H,,,
fsgnjn.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,,,H,,,S_H,S_H,S_H,,,
fsgnjx.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,,,H,,,S_H,S_H,S_H,,,
fsh,FS,x,x,x,nx0,,,,x,,x,,,,H,,,,,,,,,,,,,S_H,,,
fsqrt.h,FI,x,x,x,,,,,,x,,,x,H,,,x,,,2,vn,x,,,,S_H,S_H,,,H,
fsub.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,von,x,frm_H,,,S_H,S_H,S_H,,,frm_H
