Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cmp_rd_rs1,cmp_rd_rs2,cp_align,cp_memval
lxh,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_hword,hword
lxhu,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_hword,hword
lxw,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_word,word
lxd,XL,,x,x,x,nx0,x,x,x,nx0,,double
lxwu,XL,,x,x,x,nx0,x,x,x,nx0,zilx_word,word
lxsb,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_byte,byte
lxsbu,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_byte,byte
lxsh,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_hword,hword
lxshu,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_hword,hword
lxsw,XL,x,x,x,x,nx0,x,x,x,nx0,zilx_word,word
lxswu,XL,,x,x,x,nx0,x,x,x,nx0,zilx_word,word
lxsd,XL,,x,x,x,nx0,x,x,x,nx0,,double
lxsuwb,XL,,x,x,x,nx0,x,x,x,nx0,zilx_byte,byte
lxsuwbu,XL,,x,x,x,nx0,x,x,x,nx0,zilx_byte,byte
lxsuwh,XL,,x,x,x,nx0,x,x,x,nx0,zilx_hword,hword
lxsuwhu,XL,,x,x,x,nx0,x,x,x,nx0,zilx_hword,hword
lxsuww,XL,,x,x,x,nx0,x,x,x,nx0,zilx_word,word
lxsuwwu,XL,,x,x,x,nx0,x,x,x,nx0,zilx_word,word
lxsuwd,XL,,x,x,x,nx0,x,x,x,nx0,,double
