Instruction,Type,RV32,RV64
ecall,F,x,x
ebreak,F,x,x
wfi,F,x,x
mret,F,x,x
sret,F,x,x
sfence.vma,RR,x,x
sfence.inval.ir,F,x,x
sfence.w.inval,F,x,x
sinval.vma,RR,x,x
wrs.nto,F,x,x
wrs.sto,F,x,x
hfence.vvma,RR,x,x
hfence.gvma,RR,x,x
hinval.vvma,RR,x,x
hinval.gvma,RR,x,x
hlv.b,LR,x,x
hlv.bu,LR,x,x
hlv.h,LR,x,x
hlv.hu,LR,x,x
hlv.w,LR,x,x
hlv.wu,LR,,x
hlv.d,LR,,x
hlvx.hu,LR,x,x
hlvx.wu,LR,x,x
hsv.b,S,x,x
hsv.h,S,x,x
hsv.w,S,x,x
hsv.d,S,,x
lpad,IMM,x,x
ssamoswap.w,A,x,x
ssamoswap.d,A,,x
sspopchk,RS1,x,x
sspush,RS2,x,x
ssrdp,RD,x,x
c.sspopchk,RS1,x,x
c.sspush,RS2,x,x
