Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl,cp_mstatus_vs_off,cp_mstatus_fs_off,cp_vectorfp_mstatus_fs_state,cp_vectorfp_mstatus_fs_state_nonaffecting,cp_vectorfp_mstatus_fs_state_affecting_register,cp_vectorfp_mstatus_fs_state_affecting_csr
vfadd.vv,FVVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfadd.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwadd.vv,FWVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwadd.vf,FWVF,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwadd.wv,FWWVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwadd.wf,FWWFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfsub.vv,FVVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfsub.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwsub.vv,FWVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwsub.vf,FWVF,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwsub.wv,FWWVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwsub.wf,FWWFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfrsub.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmul.vv,FVVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmul.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwmul.vv,FWVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwmul.vf,FWVF,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfdiv.vv,FVVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfdiv.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfrdiv.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmacc.vv,FVVV_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmacc.vf,FVVF_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfnmacc.vv,FVVV_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfnmacc.vf,FVVF_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmsac.vv,FVVV_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmsac.vf,FVVF_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfnmsac.vv,FVVV_ACC,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
