Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl
vadd.vv,VVV,x,x,x,x,x,x,x,x,x
vadd.vx,VVX,x,x,x,x,x,x,x,x,x
vadd.vi,VVI,x,x,x,x,x,x,x,x,x
vwadd.vv,WVV,x,x,x,x,x,,x,x,x
vwadd.vx,WVX,x,x,x,x,x,,x,x,x
vwaddu.vv,WVV,x,x,x,x,x,,x,x,x
vwaddu.vx,WVX,x,x,x,x,x,,x,x,x
vwadd.wv,WWV,x,x,x,x,x,,x,x,x
vwadd.wx,WWX,x,x,x,x,x,,x,x,x
vwaddu.wv,WWV,x,x,x,x,x,,x,x,x
vwaddu.wx,WWX,x,x,x,x,x,,x,x,x
vsub.vv,VVV,x,x,x,x,x,x,x,x,x
vsub.vx,VVX,x,x,x,x,x,x,x,x,x
vwsub.vv,WVV,x,x,x,x,x,,x,x,x
vwsub.vx,WVX,x,x,x,x,x,,x,x,x
vwsubu.vv,WVV,x,x,x,x,x,,x,x,x
vwsubu.vx,WVX,x,x,x,x,x,,x,x,x
vwsub.wv,WWV,x,x,x,x,x,,x,x,x
vwsub.wx,WWX,x,x,x,x,x,,x,x,x
vwsubu.wv,WWV,x,x,x,x,x,,x,x,x
vwsubu.wx,WWX,x,x,x,x,x,,x,x,x
vrsub.vx,VVX,x,x,x,x,x,x,x,x,x
vrsub.vi,VVI,x,x,x,x,x,x,x,x,x
vzext.vf2,VEXT,x,x,,x,x,x,x,x,x
vzext.vf4,VEXT,x,x,,,x,x,x,x,x
vzext.vf8,VEXT,x,x,,,,x,x,x,x
vsext.vf2,VEXT,x,x,,x,x,x,x,x,x
vsext.vf4,VEXT,x,x,,,x,x,x,x,x
vsext.vf8,VEXT,x,x,,,,x,x,x,x
vadc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vadc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vadc.vim,VVIM,x,x,x,x,x,x,x,x,x
vsbc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vsbc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmadc.vvm,MVVM,x,x,x,x,x,x,x,x,x
vmadc.vxm,MVXM,x,x,x,x,x,x,x,x,x
vmadc.vim,MVIM,x,x,x,x,x,x,x,x,x
vmadc.vv,MVVC,x,x,x,x,x,x,x,x,x
vmadc.vx,MVXC,x,x,x,x,x,x,x,x,x
vmadc.vi,MVIC,x,x,x,x,x,x,x,x,x
vmsbc.vvm,MVVM,x,x,x,x,x,x,x,x,x
vmsbc.vxm,MVXM,x,x,x,x,x,x,x,x,x
vmsbc.vv,MVVC,x,x,x,x,x,x,x,x,x
vmsbc.vx,MVXC,x,x,x,x,x,x,x,x,x
vand.vv,VVV,x,x,x,x,x,x,x,x,x
vand.vx,VVX,x,x,x,x,x,x,x,x,x
vand.vi,VVI,x,x,x,x,x,x,x,x,x
vor.vv,VVV,x,x,x,x,x,x,x,x,x
vor.vx,VVX,x,x,x,x,x,x,x,x,x
vor.vi,VVI,x,x,x,x,x,x,x,x,x
vxor.vv,VVV,x,x,x,x,x,x,x,x,x
vxor.vx,VVX,x,x,x,x,x,x,x,x,x
vxor.vi,VVI,x,x,x,x,x,x,x,x,x
vsll.vv,VVV,x,x,x,x,x,x,x,x,x
vsll.vx,VVX,x,x,x,x,x,x,x,x,x
vsll.vi,VVIU,x,x,x,x,x,x,x,x,x
vsrl.vv,VVV,x,x,x,x,x,x,x,x,x
vsrl.vx,VVX,x,x,x,x,x,x,x,x,x
vsrl.vi,VVIU,x,x,x,x,x,x,x,x,x
vnsrl.wv,VWV,x,x,x,x,x,,x,x,x
vnsrl.wx,VWX,x,x,x,x,x,,x,x,x
vnsrl.wi,VWI,x,x,x,x,x,,x,x,x
vsra.vv,VVV,x,x,x,x,x,x,x,x,x
vsra.vx,VVX,x,x,x,x,x,x,x,x,x
vsra.vi,VVIU,x,x,x,x,x,x,x,x,x
