Instruction,Type,RV32,RV64,cp_misalignv_ls_element_misaligned,cp_misalignv_ls_wholereg_misaligned
vl1re16.v,VLR,x,x,,x
vl1re32.v,VLR,x,x,,x
vl1re64.v,VLR,x,x,,x
vl1re8.v,VLR,x,x,,x
vl2re16.v,VLR,x,x,,x
vl2re32.v,VLR,x,x,,x
vl2re64.v,VLR,x,x,,x
vl2re8.v,VLR,x,x,,x
vl4re16.v,VLR,x,x,,x
vl4re32.v,VLR,x,x,,x
vl4re64.v,VLR,x,x,,x
vl4re8.v,VLR,x,x,,x
vl8re16.v,VLR,x,x,,x
vl8re32.v,VLR,x,x,,x
vl8re64.v,VLR,x,x,,x
vl8re8.v,VLR,x,x,,x
vle16.v,VLUS,x,x,x,
vle16ff.v,VLSFF,x,x,x,
vle32.v,VLUS,x,x,x,
vle32ff.v,VLSFF,x,x,x,
vle64.v,VLUS,x,x,x,
vle64ff.v,VLSFF,x,x,x,
vle8.v,VLUS,x,x,x,
vle8ff.v,VLSFF,x,x,x,
vlm.v,VLR,x,x,x,
vloxei16.v,VLOX,x,x,x,
vloxei32.v,VLOX,x,x,x,
vloxei64.v,VLOX,x,x,x,
vloxei8.v,VLOX,x,x,x,
vloxseg2ei16.v,VLOXSEG,x,x,x,
vloxseg2ei32.v,VLOXSEG,x,x,x,
vloxseg2ei64.v,VLOXSEG,x,x,x,
vloxseg2ei8.v,VLOXSEG,x,x,x,
vloxseg3ei16.v,VLOXSEG,x,x,x,
vloxseg3ei32.v,VLOXSEG,x,x,x,
vloxseg3ei64.v,VLOXSEG,x,x,x,
vloxseg3ei8.v,VLOXSEG,x,x,x,
vloxseg4ei16.v,VLOXSEG,x,x,x,
vloxseg4ei32.v,VLOXSEG,x,x,x,
vloxseg4ei64.v,VLOXSEG,x,x,x,
vloxseg4ei8.v,VLOXSEG,x,x,x,
vloxseg5ei16.v,VLOXSEG,x,x,x,
vloxseg5ei32.v,VLOXSEG,x,x,x,
vloxseg5ei64.v,VLOXSEG,x,x,x,
vloxseg5ei8.v,VLOXSEG,x,x,x,
vloxseg6ei16.v,VLOXSEG,x,x,x,
vloxseg6ei32.v,VLOXSEG,x,x,x,
vloxseg6ei64.v,VLOXSEG,x,x,x,
vloxseg6ei8.v,VLOXSEG,x,x,x,
vloxseg7ei16.v,VLOXSEG,x,x,x,
vloxseg7ei32.v,VLOXSEG,x,x,x,
vloxseg7ei64.v,VLOXSEG,x,x,x,
vloxseg7ei8.v,VLOXSEG,x,x,x,
vloxseg8ei16.v,VLOXSEG,x,x,x,
vloxseg8ei32.v,VLOXSEG,x,x,x,
vloxseg8ei64.v,VLOXSEG,x,x,x,
vloxseg8ei8.v,VLOXSEG,x,x,x,
vlse16.v,VLS,x,x,x,
vlse32.v,VLS,x,x,x,
vlse64.v,VLS,x,x,x,
vlse8.v,VLS,x,x,x,
vlseg2e16.v,VLSEG,x,x,x,
vlseg2e16ff.v,VLSEGFF,x,x,x,
vlseg2e32.v,VLSEG,x,x,x,
vlseg2e32ff.v,VLSEGFF,x,x,x,
vlseg2e64.v,VLSEG,x,x,x,
vlseg2e64ff.v,VLSEGFF,x,x,x,
vlseg2e8.v,VLSEG,x,x,x,
vlseg2e8ff.v,VLSEGFF,x,x,x,
vlseg3e16.v,VLSEG,x,x,x,
vlseg3e16ff.v,VLSEGFF,x,x,x,
vlseg3e32.v,VLSEG,x,x,x,
vlseg3e32ff.v,VLSEGFF,x,x,x,
vlseg3e64.v,VLSEG,x,x,x,
vlseg3e64ff.v,VLSEGFF,x,x,x,
vlseg3e8.v,VLSEG,x,x,x,
vlseg3e8ff.v,VLSEGFF,x,x,x,
vlseg4e16.v,VLSEG,x,x,x,
vlseg4e16ff.v,VLSEGFF,x,x,x,
vlseg4e32.v,VLSEG,x,x,x,
vlseg4e32ff.v,VLSEGFF,x,x,x,
vlseg4e64.v,VLSEG,x,x,x,
vlseg4e64ff.v,VLSEGFF,x,x,x,
vlseg4e8.v,VLSEG,x,x,x,
vlseg4e8ff.v,VLSEGFF,x,x,x,
vlseg5e16.v,VLSEG,x,x,x,
vlseg5e16ff.v,VLSEGFF,x,x,x,
vlseg5e32.v,VLSEG,x,x,x,
vlseg5e32ff.v,VLSEGFF,x,x,x,
vlseg5e64.v,VLSEG,x,x,x,
vlseg5e64ff.v,VLSEGFF,x,x,x,
vlseg5e8.v,VLSEG,x,x,x,
vlseg5e8ff.v,VLSEGFF,x,x,x,
vlseg6e16.v,VLSEG,x,x,x,
vlseg6e16ff.v,VLSEGFF,x,x,x,
vlseg6e32.v,VLSEG,x,x,x,
vlseg6e32ff.v,VLSEGFF,x,x,x,
vlseg6e64.v,VLSEG,x,x,x,
vlseg6e64ff.v,VLSEGFF,x,x,x,
vlseg6e8.v,VLSEG,x,x,x,
vlseg6e8ff.v,VLSEGFF,x,x,x,
vlseg7e16.v,VLSEG,x,x,x,
vlseg7e16ff.v,VLSEGFF,x,x,x,
vlseg7e32.v,VLSEG,x,x,x,
vlseg7e32ff.v,VLSEGFF,x,x,x,
vlseg7e64.v,VLSEG,x,x,x,
vlseg7e64ff.v,VLSEGFF,x,x,x,
vlseg7e8.v,VLSEG,x,x,x,
vlseg7e8ff.v,VLSEGFF,x,x,x,
vlseg8e16.v,VLSEG,x,x,x,
vlseg8e16ff.v,VLSEGFF,x,x,x,
vlseg8e32.v,VLSEG,x,x,x,
vlseg8e32ff.v,VLSEGFF,x,x,x,
vlseg8e64.v,VLSEG,x,x,x,
vlseg8e64ff.v,VLSEGFF,x,x,x,
vlseg8e8.v,VLSEG,x,x,x,
vlseg8e8ff.v,VLSEGFF,x,x,x,
vlsseg2e16.v,VLSSEG,x,x,x,
vlsseg2e32.v,VLSSEG,x,x,x,
vlsseg2e64.v,VLSSEG,x,x,x,
vlsseg2e8.v,VLSSEG,x,x,x,
vlsseg3e16.v,VLSSEG,x,x,x,
vlsseg3e32.v,VLSSEG,x,x,x,
vlsseg3e64.v,VLSSEG,x,x,x,
vlsseg3e8.v,VLSSEG,x,x,x,
vlsseg4e16.v,VLSSEG,x,x,x,
vlsseg4e32.v,VLSSEG,x,x,x,
vlsseg4e64.v,VLSSEG,x,x,x,
vlsseg4e8.v,VLSSEG,x,x,x,
vlsseg5e16.v,VLSSEG,x,x,x,
vlsseg5e32.v,VLSSEG,x,x,x,
vlsseg5e64.v,VLSSEG,x,x,x,
vlsseg5e8.v,VLSSEG,x,x,x,
vlsseg6e16.v,VLSSEG,x,x,x,
vlsseg6e32.v,VLSSEG,x,x,x,
vlsseg6e64.v,VLSSEG,x,x,x,
vlsseg6e8.v,VLSSEG,x,x,x,
vlsseg7e16.v,VLSSEG,x,x,x,
vlsseg7e32.v,VLSSEG,x,x,x,
vlsseg7e64.v,VLSSEG,x,x,x,
vlsseg7e8.v,VLSSEG,x,x,x,
vlsseg8e16.v,VLSSEG,x,x,x,
